Data Year,County,Revenues Thousand Dollars,Sales Megawatthours,Customers Count,Population,Median Income,less than 30 percent income in housing cost,30 to 50 percent income in housing cost,greater than 50 percent income in housing cost,avg_energy_cost_per_customer,avg_kwh_per_customer,price_per_kwh,energy_burden,kwh_per_capita
2010,apache,1544327.9,13424364.0,1058161.0,18859.0,30184.0,11371.0,1324.0,919.0,1459.4451127947448,12686.504227617537,0.11503918546904718,0.04835161386147445,711827.9866376796
2010,cochise,1553850.9,13405386.0,1038290.0,48935.0,44876.0,25399.0,4619.0,3457.0,1496.5480742374482,12911.022931936164,0.11591243251033577,0.03334851756478849,273942.69949933584
2010,coconino,1565735.6,13627931.0,1064552.0,45478.0,49510.0,19667.0,4960.0,2980.0,1470.7929720671232,12801.564413950657,0.11489165890258764,0.029706987922987742,299659.857513523
2010,gila,2843772.9,25684799.0,1894388.0,19704.0,37580.0,10618.0,2774.0,1817.0,1501.156521261748,13558.362384052263,0.1107181294274485,0.03994562323740681,1303532.2269589931
2010,graham,84082.70000000001,630986.0,67819.0,10822.0,41683.0,5806.0,1261.0,656.0,1239.8103776227904,9303.97086362229,0.1332560468853509,0.029743789497463962,58305.8584365182
2010,greenlee,1325650.7,12544693.0,888964.0,3327.0,48696.0,1308.0,180.0,72.0,1491.2310284780935,14111.587195881948,0.10567422415199798,0.030623275597135156,3770571.986774872
2010,la paz,1507176.8,13074577.0,1000487.0,10158.0,32147.0,6125.0,831.0,600.0,1506.4431621800184,13068.212780375958,0.11527537755141141,0.046861080728528896,1287121.1852726915
2010,maricopa,2836791.0,25612369.0,1875727.0,1382002.0,55054.0,601847.0,186617.0,120881.0,1512.3688042023173,13654.635775888495,0.110758633846014,0.027470643444660103,18532.801689143722
2010,mohave,128400.2,1267695.0,121880.0,80361.0,39785.0,39227.0,10014.0,7474.0,1053.4968821791927,10401.173285198556,0.10128635042340627,0.026479750714570635,15775.002799865606
2010,navajo,1544327.9,13424364.0,1058161.0,35366.0,39774.0,19146.0,3728.0,2204.0,1459.4451127947448,12686.504227617537,0.11503918546904718,0.036693445788574065,379583.8941356105
2010,pima,2009741.5,17841220.0,1458069.0,381880.0,45521.0,171558.0,45813.0,27529.0,1378.3582944291388,12236.19732673831,0.11264596815688613,0.030279613682237624,46719.44066198806
2010,pinal,2863544.7,25778110.0,1887099.0,118826.0,51310.0,60578.0,19535.0,11399.0,1517.4321537979724,13660.178930729124,0.11108435412836705,0.029573809273006672,216939.97946577347
2010,santa cruz,130566.3,1187679.0,121622.0,12078.0,36519.0,5493.0,1504.0,1400.0,1073.5417934255315,9765.330285639111,0.10993399731745698,0.02939680148485806,98334.0784898162
2010,yavapai,1545689.0,13410665.0,1032102.0,89109.0,43290.0,42328.0,12103.0,9467.0,1497.612639060868,12993.546180513167,0.11525819189428713,0.03459488655719261,150497.3122804655
2010,yuma,1506985.0,13064920.0,999187.0,69563.0,40340.0,34433.0,8651.0,4790.0,1508.2111756858326,13075.550422493487,0.11534590338096215,0.037387485763158965,187814.21157799405
2015,apache,1752007.0,13518731.0,1107634.0,19272.0,31757.0,11595.0,1254.0,960.0,1581.756248002499,12205.052390952245,0.1295984808041524,0.04980811310899956,701470.0601909506
2015,cochise,1747252.0,13501348.0,1088849.0,48825.0,45075.0,25278.0,4357.0,3089.0,1604.67796728472,12399.651374984043,0.12941315193119976,0.03560017675617792,276525.3046594982
2015,coconino,1768618.3,13785749.0,1116400.0,46619.0,50234.0,21016.0,3903.0,2488.0,1584.215603726263,12348.395736295235,0.12829323238077234,0.03153672022387751,295710.9547609344
2015,gila,3208591.0,26074195.0,2007152.0,20909.0,39751.0,11648.0,1766.0,1622.0,1598.5789815619346,12990.642960772278,0.12305618639424919,0.040214811742143204,1247032.1392701708
