Data Year,County,Revenues Thousand Dollars,Sales Megawatthours,Customers Count,Population,Median Income,less than 20 percent income in housing cost,20 to 29 percent income in housing cost,greater than 30 percent income in housing cost,avg_energy_cost_per_customer,avg_kwh_per_customer,price_per_kwh,energy_burden,kwh_per_capita
2018,apache,1916002.3,13574888.0,1162766.0,20395.0,32963.0,9422.0,802.0,975.0,1647.7969772077959,11674.651649601037,0.14114313871318865,0.0499892903318204,665598.8232409904
2018,cochise,1921531.9,13553039.0,1145072.0,49250.0,48649.0,21651.0,5104.0,7130.0,1678.0882774183633,11835.971013176464,0.1417786741409067,0.03449378769179969,275188.6091370558
2018,coconino,1891148.7,13404402.0,1131169.0,47276.0,57616.0,17309.0,5272.0,4759.0,1671.8533658542622,11850.043627433213,0.14108415280293743,0.029017171720602995,283535.02834419155
2018,gila,3458725.3,26771514.0,2104080.0,21708.0,42092.0,6561.0,846.0,1219.0,1643.8183434089958,12723.61982434128,0.12919423608242703,0.03905298734697795,1233255.666113875
2018,graham,77022.0,533788.0,60942.0,10782.0,51352.0,2561.0,418.0,272.0,1263.8574382199467,8758.951133864986,0.144293240012889,0.02461164975502311,49507.327026525694
2018,greenlee,1576705.3,13471583.0,992653.0,3225.0,60962.0,880.0,38.0,87.0,1588.3750917994505,13571.29127701221,0.11703934867936455,0.02605516701878958,4177235.03875969
2018,la paz,1867369.0,13190481.0,1100816.0,8912.0,33333.0,3905.0,352.0,460.0,1696.3497986947864,11982.457558756414,0.1415694393555474,0.0508910028708723,1480080.9021543986
2018,maricopa,3428555.0,26538741.0,2068072.0,1520767.0,61606.0,550017.0,198407.0,209945.0,1657.8508872031534,12832.600122239457,0.12919056710339047,0.02691054259655153,17450.892214257674
2018,mohave,95572.8,954679.0,89967.0,85485.0,43266.0,37860.0,11248.0,13992.0,1062.309513488279,10611.43530405593,0.10010987986537884,0.024552986490275944,11167.795519681815
2018,navajo,1916002.3,13574888.0,1162766.0,34407.0,40054.0,14976.0,3019.0,4453.0,1647.7969772077959,11674.651649601037,0.14114313871318865,0.04113938625874559,394538.55320138345
2018,pima,2478690.1,17910409.0,1586348.0,400907.0,51037.0,140989.0,51851.0,49715.0,1562.5134585853798,11290.340454931706,0.1383938300906473,0.030615307690212586,44674.722566580276
2018,pinal,3429039.0,26543567.0,2068389.0,137286.0,55550.0,60125.0,25180.0,23547.0,1657.830804553689,12832.966622816115,0.12918531258440133,0.029843938875853987,193345.03882406073
2018,santa cruz,144458.1,1263834.0,130058.0,15430.0,40467.0,2718.0,345.0,446.0,1110.7206015777576,9717.464515831398,0.11430148263142154,0.0274475647213225,81907.58263123785
2018,yavapai,1867369.0,13190481.0,1100816.0,96007.0,50180.0,38353.0,13284.0,16190.0,1696.3497986947864,11982.457558756414,0.1415694393555474,0.03380529690503759,137390.82566896162
2018,yuma,1870713.0,13219587.0,1103756.0,72463.0,44058.0,26546.0,9705.0,11055.0,1694.8610018880984,11976.91065779031,0.141510699237427,0.0384688592738685,182432.23438168445
2020,apache,2009542.4,15172221.0,1213167.0,21505.0,33967.0,11929.0,1665.0,1926.0,1656.4433420955236,12506.292208739605,0.13244879573003848,0.048766253778535745,705520.6231109045
2020,cochise,2006280.3,15152486.0,1194783.0,50917.0,51505.0,22706.0,5545.0,6472.0,1679.2005744976284,12682.20756405138,0.13240601575213468,0.032602671090139375,297591.88483217784
2020,coconino,2022124.7,15364923.0,1215039.0,49016.0,59000.0,18057.0,5520.0,5700.0,1664.2467443431856,12645.621251663526,0.13160656255810718,0.028207571938020096,313467.50040803006
2020,gila,3691685.7,29879860.0,2172788.0,22523.0,46907.0,10524.0,2607.0,3552.0,1699.0547167970367,13751.852458684418,0.12355097045300747,0.03622177322781326,1326637.6592816233
2020,graham,68065.0,519601.0,55327.0,11348.0,55693.0,4882.0,1550.0,1414.0,1230.231171037649,9391.454443580891,0.1309947440439876,0.022089511626912698,45787.892139584066
2020,greenlee,1725266.6,15037599.0,1014161.0,3295.0,66368.0,1363.0,95.0,208.0,1701.176243219765,14827.625002341838,0.11473019063748142,0.025632477145910153,4563762.974203339
2020,la paz,1953176.3,14747876.0,1150194.0,9928.0,34956.0,4868.0,586.0,1312.0,1698.1277071520108,12822.076971363093,0.1324378032470574,0.04857900523950139,1485483.0781627719
2020,maricopa,3672848.9,29772247.0,2150072.0,1596784.0,67799.0,580356.0,202099.0,217085.0,1708.2446076224423,13847.093027582332,0.12336485385197832,0.025195719813307607,18645.131088487862
2020,mohave,150966.4,1497538.0,130561.0,90413.0,47686.0,38844.0,11013.0,13023.0,1156.2901632187254,11470.025505319352,0.10080972903525653,0.024248000738554827,16563.30394965326
2020,navajo,2009542.4,15172221.0,1213167.0,36406.0,43140.0,17211.0,3369.0,4201.0,1656.4433420955236,12506.292208739605,0.13244879573003848,0.03839692494426341,416750.5630939955
2020,pima,2617543.5,20007757.0,1648292.0,410942.0,55023.0,153571.0,51036.0,56286.0,1588.03385565179,12138.478497741906,0.13082643396758567,0.028861273570175927,48687.54471433925
2020,pinal,3709484.5,30023836.0,2165425.0,148435.0,60968.0,67472.0,22050.0,23309.0,1713.0514795017145,13865.1008462542,0.12355131769304895,0.02809755083817272,202269.24916630174
2020,santa cruz,154394.3,1415441.0,133728.0,16049.0,41424.0,6070.0,1964.0,2687.0,1154.5398121560181,10584.477446757597,0.10907858398901826,0.027871277813731606,88194.96541840614
