Counties,Attribute,Value
Apache,arizona public service,Yes
Apache,navopache electric co-op,Yes
Apache,navajo tribal utility authority,Yes
Cochise,arizona public service,Yes
Cochise,columbus electric co-op,Yes
Cochise,sulphur springs valley electric co-op,Yes
Coconino,arizona public service,Yes
Coconino,garkane power association,Yes
Coconino,mohave electric cooperative,Yes
Coconino,city of fredonia ,Yes
Coconino,city of williams - az,Yes
Coconino,navajo tribal utility authority,Yes
Coconino,page electric utility,Yes
Coconino,page utility enterprises,Yes
Gila,arizona public service,Yes
Gila,navopache electric co-op,Yes
Gila,salt river project,Yes
Gila,usbia-san carlos project,Yes
Graham,graham county electric cooperative,Yes
Graham,sulphur springs valley electric co-op,Yes
Graham,city of safford,Yes
Graham,duncan valley elec coop inc,Yes
Graham,town of thatcher,Yes
Graham,usbia-san carlos project,Yes
Greenlee,morenci water & electric company,Yes
Greenlee,navopache electric co-op,Yes
Greenlee,salt river project,Yes
Greenlee,duncan valley elec coop inc,Yes
La Paz,arizona public service,Yes
La Paz,colorado river indian irr proj,Yes
Maricopa,arizona public service,Yes
Maricopa,city of mesa ,Yes
Maricopa,salt river project,Yes
Maricopa,buckeye water c&d district,Yes
Maricopa,ocotillo water conserv. dist.,Yes
Maricopa,tohono o'odham utility auth,Yes
Maricopa,town of wickenburg,Yes
Maricopa,usbia-san carlos project,Yes
Maricopa,tohono oodham utility auth,Yes
Mohave,dixie escalante rural electric association,Yes
Mohave,garkane power association,Yes
Mohave,mohave electric cooperative,Yes
Mohave,uns electric inc.,Yes
Mohave,colorado river indian irr proj,Yes
Mohave,aha macav power service,Yes
Navajo,arizona public service,Yes
Navajo,navopache electric co-op,Yes
Navajo,navajo tribal utility authority,Yes
Pima,ajo improvement company,Yes
Pima,arizona public service,Yes
Pima,sulphur springs valley electric co-op,Yes
Pima,trico electric cooperative,Yes
Pima,tucson electric power,Yes
Pima,tohono o'odham utility auth,Yes
Pima,usbia-san carlos project,Yes
Pima,tohono oodham utility auth,Yes
Pinal,arizona public service,Yes
Pinal,salt river project,Yes
Pinal,ak-chin electric utility authority,Yes
Pinal,electrical dist no2 pinal cnty,Yes
Pinal,electrical dist no3 pinal cnty,Yes
Pinal,electrical dist no4 pinal cnty,Yes
Pinal,electrical dist no5 pinal cnty,Yes
Pinal,hohokam irr & drain dist,Yes
Pinal,tohono o'odham utility auth,Yes
Pinal,usbia-san carlos project,Yes
Pinal,gila river indian utility authority (gricua),Yes
Pinal,tohono oodham utility auth,Yes
Santa Cruz,sulphur springs valley electric co-op,Yes
Santa Cruz,uns electric inc.,Yes
Yavapai,arizona public service,Yes
Yavapai,mohave electric cooperative,Yes
Yavapai,town of wickenburg,Yes
Yuma,arizona public service,Yes
Yuma,wellton-mohawk irr & drain dist,Yes
