"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Family Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mfaminc","TimeFrame","GeoVintage","Source","Location"
"County","Apache","AZ","04001","=""04001""","41259","2015-2019","2010","Census","Arizona (State)"
"County","Cochise","AZ","04003","=""04003""","59657","2015-2019","2010","Census","Arizona (State)"
"County","Coconino","AZ","04005","=""04005""","75787","2015-2019","2010","Census","Arizona (State)"
"County","Gila","AZ","04007","=""04007""","51428","2015-2019","2010","Census","Arizona (State)"
"County","Graham","AZ","04009","=""04009""","59470","2015-2019","2010","Census","Arizona (State)"
"County","Greenlee","AZ","04011","=""04011""","64502","2015-2019","2010","Census","Arizona (State)"
"County","La Paz","AZ","04012","=""04012""","44419","2015-2019","2010","Census","Arizona (State)"
"County","Maricopa","AZ","04013","=""04013""","76769","2015-2019","2010","Census","Arizona (State)"
"County","Mohave","AZ","04015","=""04015""","54414","2015-2019","2010","Census","Arizona (State)"
"County","Navajo","AZ","04017","=""04017""","48944","2015-2019","2010","Census","Arizona (State)"
"County","Pima","AZ","04019","=""04019""","66727","2015-2019","2010","Census","Arizona (State)"
"County","Pinal","AZ","04021","=""04021""","66488","2015-2019","2010","Census","Arizona (State)"
"County","Santa Cruz","AZ","04023","=""04023""","46738","2015-2019","2010","Census","Arizona (State)"
"County","Yavapai","AZ","04025","=""04025""","64608","2015-2019","2010","Census","Arizona (State)"
"County","Yuma","AZ","04027","=""04027""","50338","2015-2019","2010","Census","Arizona (State)"
