"Label (Grouping)","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error"
"Owner-occupied housing units with a mortgage","1,072,502","±13,375","1,072,502","±13,375","3,132","±766","3,132","±766","19,396","±1,770","19,396","±1,770","14,639","±1,631","14,639","±1,631","679,978","±9,836","679,978","±9,836","37,124","±2,888","37,124","±2,888","8,428","±1,127","8,428","±1,127","150,794","±5,290","150,794","±5,290","70,696","±3,605","70,696","±3,605","39,002","±3,195","39,002","±3,195","27,611","±2,336","27,611","±2,336"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","27,115","±2,698","2.5%","±0.2","233","±136","7.4%","±5.0","409","±269","2.1%","±1.4","882","±593","6.0%","±3.9","10,414","±1,459","1.5%","±0.2","2,859","±1,126","7.7%","±2.9","308","±218","3.7%","±2.6","5,465","±1,098","3.6%","±0.7","2,539","±929","3.6%","±1.2","744","±460","1.9%","±1.2","1,283","±667","4.6%","±2.4"
"        $50,000 to $99,999","43,691","±3,211","4.1%","±0.3","347","±205","11.1%","±6.5","3,171","±781","16.3%","±3.9","142","±144","1.0%","±1.0","13,863","±1,768","2.0%","±0.3","4,563","±1,380","12.3%","±3.6","802","±332","9.5%","±3.8","10,067","±1,559","6.7%","±1.0","3,411","±1,093","4.8%","±1.5","1,289","±644","3.3%","±1.6","2,580","±766","9.3%","±2.6"
"        $100,000 to $299,999","598,719","±13,054","55.8%","±0.8","2,523","±760","80.6%","±8.9","13,562","±1,625","69.9%","±4.7","4,581","±1,095","31.3%","±6.6","345,766","±8,350","50.8%","±0.9","20,586","±2,263","55.5%","±4.5","5,906","±1,011","70.1%","±6.6","99,720","±5,157","66.1%","±1.8","51,945","±3,190","73.5%","±3.1","20,712","±2,308","53.1%","±4.0","20,967","±2,175","75.9%","±4.0"
"        $300,000 to $499,999","280,745","±7,302","26.2%","±0.6","0","±211","0.0%","±5.7","1,801","±623","9.3%","±3.1","5,862","±1,050","40.0%","±6.2","211,947","±6,581","31.2%","±0.9","7,685","±1,548","20.7%","±4.0","1,157","±467","13.7%","±5.4","25,710","±1,839","17.0%","±1.3","10,638","±1,936","15.0%","±2.6","11,000","±1,816","28.2%","±3.8","2,584","±716","9.4%","±2.7"
"        $500,000 to $749,999","79,458","±4,061","7.4%","±0.4","29","±48","0.9%","±1.6","381","±385","2.0%","±2.0","2,382","±799","16.3%","±5.3","62,206","±3,429","9.1%","±0.5","958","±468","2.6%","±1.2","84","±99","1.0%","±1.2","6,544","±1,042","4.3%","±0.7","1,577","±706","2.2%","±1.0","3,978","±1,022","10.2%","±2.7","127","±135","0.5%","±0.5"
"        $750,000 to $999,999","23,128","±1,896","2.2%","±0.2","0","±211","0.0%","±5.7","72","±120","0.4%","±0.6","492","±287","3.4%","±1.9","18,660","±1,803","2.7%","±0.3","311","±249","0.8%","±0.7","74","±99","0.9%","±1.2","2,264","±624","1.5%","±0.4","203","±251","0.3%","±0.4","789","±350","2.0%","±0.9","38","±65","0.1%","±0.2"
"        $1,000,000 or more","19,646","±1,917","1.8%","±0.2","0","±211","0.0%","±5.7","0","±211","0.0%","±0.9","298","±214","2.0%","±1.5","17,122","±1,760","2.5%","±0.3","162","±169","0.4%","±0.5","97","±114","1.2%","±1.4","1,024","±493","0.7%","±0.3","383","±288","0.5%","±0.4","490","±342","1.3%","±0.9","32","±53","0.1%","±0.2"
"        Median (dollars)","256,600","±2,646","256,600","±2,646","167,800","±27,141","167,800","±27,141","155,800","±16,512","155,800","±16,512","362,700","±28,961","362,700","±28,961","286,100","±2,650","286,100","±2,650","206,200","±13,529","206,200","±13,529","186,700","±13,159","186,700","±13,159","201,200","±6,043","201,200","±6,043","216,900","±5,705","216,900","±5,705","270,500","±13,630","270,500","±13,630","160,700","±8,411","160,700","±8,411"
