"Label (Grouping)","Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error"
"Owner-occupied housing units without a mortgage","633,526","±5,687","633,526","±5,687","13,902","±419","13,902","±419","16,568","±690","16,568","±690","14,110","±763","14,110","±763","9,625","±526","9,625","±526","3,466","±293","3,466","±293","1,064","±128","1,064","±128","5,230","±422","5,230","±422","318,383","±3,937","318,383","±3,937","28,807","±1,227","28,807","±1,227","16,073","±595","16,073","±595","101,588","±2,407","101,588","±2,407","44,604","±1,449","44,604","±1,449","4,213","±417","4,213","±417","32,757","±1,181","32,757","±1,181","23,136","±884","23,136","±884"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","99,338","±2,500","15.7%","±0.4","6,904","±411","49.7%","±2.5","2,857","±335","17.2%","±1.8","3,044","±259","21.6%","±1.9","2,799","±371","29.1%","±3.6","1,041","±159","30.0%","±3.8","193","±62","18.1%","±6.1","1,807","±429","34.6%","±7.1","36,374","±1,544","11.4%","±0.5","4,582","±490","15.9%","±1.6","3,977","±374","24.7%","±2.0","16,504","±972","16.2%","±0.8","9,387","±659","21.0%","±1.4","344","±133","8.2%","±3.0","3,257","±546","9.9%","±1.6","6,268","±506","27.1%","±2.1"
"        $50,000 to $99,999","67,332","±1,540","10.6%","±0.2","3,938","±332","28.3%","±2.3","3,163","±336","19.1%","±2.0","2,104","±344","14.9%","±2.1","1,451","±231","15.1%","±2.5","652","±127","18.8%","±3.3","412","±108","38.7%","±8.7","1,300","±325","24.9%","±6.0","18,503","±1,060","5.8%","±0.3","5,245","±599","18.2%","±1.9","3,494","±282","21.7%","±1.7","11,371","±764","11.2%","±0.7","6,749","±657","15.1%","±1.4","710","±216","16.9%","±4.9","2,996","±494","9.1%","±1.5","5,244","±587","22.7%","±2.4"
"        $100,000 to $199,999","144,019","±3,060","22.7%","±0.4","2,013","±294","14.5%","±2.1","5,940","±527","35.9%","±2.7","1,984","±273","14.1%","±1.7","1,815","±355","18.9%","±3.4","1,139","±187","32.9%","±4.7","276","±97","25.9%","±8.0","1,157","±270","22.1%","±5.1","63,039","±2,009","19.8%","±0.6","8,658","±836","30.1%","±2.5","4,254","±428","26.5%","±2.7","26,914","±1,163","26.5%","±1.1","11,463","±865","25.7%","±1.5","1,650","±295","39.2%","±5.5","5,682","±499","17.3%","±1.5","8,035","±786","34.7%","±2.9"
"        $200,000 to $299,999","131,756","±2,621","20.8%","±0.4","658","±146","4.7%","±1.0","2,584","±335","15.6%","±2.0","1,660","±267","11.8%","±1.7","1,591","±259","16.5%","±2.6","329","±113","9.5%","±3.1","78","±47","7.3%","±4.4","546","±159","10.4%","±3.0","75,867","±1,784","23.8%","±0.5","5,851","±611","20.3%","±2.0","2,164","±342","13.5%","±2.1","21,842","±982","21.5%","±0.9","8,336","±690","18.7%","±1.5","694","±171","16.5%","±3.9","7,524","±763","23.0%","±2.1","2,032","±298","8.8%","±1.3"
"        $300,000 to $499,999","123,395","±3,439","19.5%","±0.5","244","±101","1.8%","±0.7","1,308","±269","7.9%","±1.6","2,961","±367","21.0%","±2.4","1,161","±255","12.1%","±2.5","239","±77","6.9%","±2.1","56","±38","5.3%","±3.6","119","±65","2.3%","±1.3","79,516","±2,553","25.0%","±0.7","3,116","±418","10.8%","±1.4","1,818","±363","11.3%","±2.1","16,830","±1,158","16.6%","±1.0","6,242","±614","14.0%","±1.2","444","±159","10.5%","±3.7","8,295","±713","25.3%","±2.0","1,046","±260","4.5%","±1.1"
"        $500,000 to $749,999","39,635","±1,547","6.3%","±0.2","93","±55","0.7%","±0.4","490","±302","3.0%","±1.8","1,478","±341","10.5%","±2.3","490","±179","5.1%","±1.8","27","±24","0.8%","±0.7","40","±49","3.8%","±4.5","262","±162","5.0%","±3.1","25,358","±1,208","8.0%","±0.4","1,115","±355","3.9%","±1.2","266","±106","1.7%","±0.7","4,769","±515","4.7%","±0.5","1,264","±207","2.8%","±0.5","134","±77","3.2%","±1.7","3,462","±558","10.6%","±1.6","387","±222","1.7%","±1.0"
"        $750,000 to $999,999","14,062","±944","2.2%","±0.1","52","±18","0.4%","±0.1","111","±77","0.7%","±0.5","494","±155","3.5%","±1.1","202","±138","2.1%","±1.4","17","±17","0.5%","±0.5","0","±19","0.0%","±3.7","0","±25","0.0%","±0.8","9,461","±858","3.0%","±0.3","128","±106","0.4%","±0.4","30","±33","0.2%","±0.2","1,893","±338","1.9%","±0.3","690","±206","1.5%","±0.5","97","±62","2.3%","±1.4","823","±222","2.5%","±0.7","64","±47","0.3%","±0.2"
"        $1,000,000 or more","13,989","±736","2.2%","±0.1","0","±31","0.0%","±0.3","115","±75","0.7%","±0.5","385","±129","2.7%","±0.9","116","±67","1.2%","±0.7","22","±21","0.6%","±0.6","9","±13","0.8%","±1.3","39","±28","0.7%","±0.5","10,265","±653","3.2%","±0.2","112","±64","0.4%","±0.2","70","±46","0.4%","±0.3","1,465","±247","1.4%","±0.2","473","±184","1.1%","±0.4","140","±78","3.3%","±1.8","718","±195","2.2%","±0.6","60","±46","0.3%","±0.2"
