"Label (Grouping)","Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error"
"Owner-occupied housing units without a mortgage","796,249","±14,670","796,249","±14,670","15,236","±1,189","15,236","±1,189","20,546","±1,785","20,546","±1,785","18,355","±1,881","18,355","±1,881","401,443","±9,701","401,443","±9,701","39,278","±2,756","39,278","±2,756","23,771","±2,039","23,771","±2,039","126,113","±5,459","126,113","±5,459","53,938","±2,558","53,938","±2,558","41,036","±2,616","41,036","±2,616","28,372","±2,925","28,372","±2,925"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","87,555","±5,708","11.0%","±0.7","7,230","±973","47.5%","±5.1","2,560","±947","12.5%","±4.4","4,108","±1,022","22.4%","±4.9","28,963","±3,367","7.2%","±0.8","4,534","±1,370","11.5%","±3.4","5,785","±1,166","24.3%","±4.8","14,254","±2,185","11.3%","±1.7","7,568","±1,471","14.0%","±2.6","2,773","±1,071","6.8%","±2.5","4,701","±1,346","16.6%","±4.5"
"        $50,000 to $99,999","51,291","±3,669","6.4%","±0.5","3,318","±838","21.8%","±5.7","2,878","±775","14.0%","±3.7","2,039","±571","11.1%","±3.1","13,784","±2,099","3.4%","±0.5","4,037","±1,183","10.3%","±3.0","5,478","±1,069","23.0%","±4.3","7,459","±1,458","5.9%","±1.1","5,032","±1,209","9.3%","±2.2","1,271","±510","3.1%","±1.2","3,170","±888","11.2%","±3.3"
"        $100,000 to $199,999","73,850","±4,666","9.3%","±0.6","2,142","±465","14.1%","±3.1","5,277","±1,052","25.7%","±4.7","1,815","±663","9.9%","±3.6","18,674","±2,153","4.7%","±0.5","6,603","±1,094","16.8%","±2.4","4,138","±1,043","17.4%","±3.9","12,968","±2,112","10.3%","±1.7","6,713","±1,536","12.4%","±2.8","3,555","±819","8.7%","±1.9","6,855","±1,551","24.2%","±4.6"
"        $200,000 to $299,999","95,075","±5,389","11.9%","±0.6","561","±344","3.7%","±2.2","3,962","±1,092","19.3%","±4.9","1,282","±631","7.0%","±3.3","34,931","±3,135","8.7%","±0.8","6,537","±1,352","16.6%","±3.2","2,782","±998","11.7%","±4.1","20,520","±2,335","16.3%","±1.7","6,733","±1,478","12.5%","±2.7","5,723","±1,544","13.9%","±3.5","5,913","±1,864","20.8%","±5.5"
"        $300,000 to $499,999","246,106","±9,675","30.9%","±1.0","1,302","±613","8.5%","±3.9","3,654","±992","17.8%","±4.6","2,670","±1,014","14.5%","±5.2","143,663","±7,319","35.8%","±1.6","11,114","±1,829","28.3%","±3.8","3,093","±819","13.0%","±3.1","40,709","±3,260","32.3%","±2.0","16,568","±2,593","30.7%","±4.4","11,664","±1,612","28.4%","±3.8","5,939","±1,422","20.9%","±5.1"
"        $500,000 to $749,999","139,912","±5,691","17.6%","±0.7","458","±486","3.0%","±3.1","1,585","±656","7.7%","±3.1","3,225","±804","17.6%","±4.1","91,259","±4,741","22.7%","±1.1","4,680","±1,064","11.9%","±2.8","1,555","±680","6.5%","±2.8","17,587","±2,351","13.9%","±1.7","8,112","±1,274","15.0%","±2.3","8,185","±1,194","19.9%","±2.6","1,244","±1,044","4.4%","±3.6"
"        $750,000 to $999,999","53,279","±3,829","6.7%","±0.5","0","±237","0.0%","±1.5","429","±380","2.1%","±1.8","1,437","±623","7.8%","±3.3","34,475","±3,220","8.6%","±0.8","1,017","±529","2.6%","±1.3","665","±353","2.8%","±1.4","8,348","±1,463","6.6%","±1.2","1,554","±540","2.9%","±1.0","4,487","±1,086","10.9%","±2.7","217","±178","0.8%","±0.6"
"        $1,000,000 or more","49,181","±3,840","6.2%","±0.5","225","±218","1.5%","±1.4","201","±200","1.0%","±1.0","1,779","±567","9.7%","±3.0","35,694","±3,532","8.9%","±0.8","756","±391","1.9%","±1.0","275","±212","1.2%","±0.9","4,268","±1,009","3.4%","±0.8","1,658","±581","3.1%","±1.1","3,378","±760","8.2%","±1.7","333","±346","1.2%","±1.2"
"        Median (dollars)","367,600","±5,288","367,600","±5,288","52,700","±5,248","52,700","±5,248","190,100","±26,051","190,100","±26,051","292,000","±98,422","292,000","±98,422","446,000","±6,230","446,000","±6,230","270,800","±20,627","270,800","±20,627","112,000","±19,340","112,000","±19,340","330,700","±10,380","330,700","±10,380","309,500","±23,239","309,500","±23,239","429,000","±25,840","429,000","±25,840","192,300","±23,225","192,300","±23,225"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $10,000","46,796","±3,869","5.9%","±0.5","2,619","±578","17.2%","±3.6","1,253","±514","6.1%","±2.4","1,343","±529","7.3%","±2.7","20,337","±2,523","5.1%","±0.6","2,819","±1,069","7.2%","±2.7","2,368","±805","10.0%","±3.3","5,366","±1,260","4.3%","±1.0","3,744","±1,364","6.9%","±2.5","2,230","±821","5.4%","±2.0","2,412","±1,117","8.5%","±3.8"
"        $10,000 to $24,999","81,688","±4,864","10.3%","±0.6","3,445","±766","22.6%","±4.7","3,300","±878","16.1%","±4.1","2,345","±825","12.8%","±4.0","28,805","±2,685","7.2%","±0.7","6,644","±1,279","16.9%","±3.1","4,395","±1,069","18.5%","±4.0","14,437","±2,375","11.4%","±1.7","5,296","±1,167","9.8%","±2.2","4,325","±969","10.5%","±2.3","3,352","±1,053","11.8%","±3.6"
"        $25,000 to $34,999","61,452","±3,989","7.7%","±0.5","2,206","±592","14.5%","±3.9","2,467","±738","12.0%","±3.6","1,519","±642","8.3%","±3.4","26,231","±2,925","6.5%","±0.7","4,062","±1,119","10.3%","±2.7","2,726","±827","11.5%","±3.2","8,532","±1,500","6.8%","±1.1","6,001","±1,582","11.1%","±3.0","2,716","±899","6.6%","±2.2","2,244","±722","7.9%","±2.4"
"        $35,000 to $49,999","92,830","±5,121","11.7%","±0.6","1,854","±478","12.2%","±3.2","2,329","±773","11.3%","±3.6","2,737","±1,062","14.9%","±5.6","40,511","±3,558","10.1%","±0.9","4,792","±1,154","12.2%","±2.9","3,056","±900","12.9%","±3.7","16,653","±2,379","13.2%","±1.8","6,239","±1,544","11.6%","±2.8","6,256","±1,368","15.2%","±3.1","4,298","±994","15.1%","±3.6"
"        $50,000 to $74,999","137,029","±6,261","17.2%","±0.7","2,014","±751","13.2%","±4.5","3,493","±952","17.0%","±4.5","2,364","±645","12.9%","±3.4","66,651","±3,757","16.6%","±1.0","7,461","±1,640","19.0%","±3.8","4,852","±1,195","20.4%","±4.9","22,151","±2,569","17.6%","±2.0","10,175","±1,822","18.9%","±3.3","8,122","±1,645","19.8%","±3.9","4,738","±1,488","16.7%","±4.6"
"        $75,000 to $99,999","110,049","±6,494","13.8%","±0.7","1,552","±504","10.2%","±3.1","2,909","±820","14.2%","±3.7","2,329","±559","12.7%","±2.8","55,970","±4,967","13.9%","±1.1","4,483","±1,142","11.4%","±2.7","2,410","±810","10.1%","±3.4","17,671","±2,089","14.0%","±1.6","6,622","±1,426","12.3%","±2.5","6,845","±1,289","16.7%","±3.0","5,736","±1,729","20.2%","±5.7"
"        $100,000 to $149,999","118,874","±5,862","14.9%","±0.6","915","±300","6.0%","±2.0","2,512","±949","12.2%","±4.3","2,659","±767","14.5%","±3.8","70,629","±4,935","17.6%","±1.0","4,928","±1,183","12.5%","±2.8","1,870","±588","7.9%","±2.4","17,708","±2,138","14.0%","±1.6","7,606","±1,786","14.1%","±3.2","4,960","±1,018","12.1%","±2.4","2,515","±900","8.9%","±3.1"
"        $150,000 or more","147,531","±6,096","18.5%","±0.7","631","±268","4.1%","±1.7","2,283","±622","11.1%","±3.0","3,059","±631","16.7%","±3.6","92,309","±5,373","23.0%","±1.1","4,089","±1,083","10.4%","±2.7","2,094","±877","8.8%","±3.6","23,595","±2,520","18.7%","±1.8","8,255","±1,420","15.3%","±2.5","5,582","±1,050","13.6%","±2.4","3,077","±1,326","10.8%","±4.4"
"        Median household income (dollars)","71,266","±1,389","71,266","±1,389","30,768","±5,141","30,768","±5,141","55,386","±8,149","55,386","±8,149","61,759","±10,604","61,759","±10,604","82,309","±2,509","82,309","±2,509","53,570","±5,320","53,570","±5,320","46,329","±6,347","46,329","±6,347","71,030","±3,557","71,030","±3,557","63,702","±3,860","63,702","±3,860","63,309","±6,433","63,309","±6,433","62,785","±13,902","62,785","±13,902"
"    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 2.0","175,954","±7,212","22.1%","±0.7","8,490","±987","55.7%","±5.8","7,051","±1,176","34.3%","±5.2","6,270","±1,140","34.2%","±5.2","67,289","±5,053","16.8%","±1.1","7,992","±1,503","20.3%","±3.5","9,196","±1,280","38.7%","±4.9","30,886","±2,713","24.5%","±1.9","14,489","±1,721","26.9%","±3.0","5,176","±1,280","12.6%","±2.9","10,343","±1,745","36.5%","±5.3"
"        2.0 to 2.9","97,974","±4,904","12.3%","±0.6","797","±285","5.2%","±1.8","2,263","±734","11.0%","±3.3","1,529","±610","8.3%","±3.3","50,010","±3,678","12.5%","±0.9","6,624","±1,461","16.9%","±3.7","1,952","±727","8.2%","±3.0","17,400","±2,060","13.8%","±1.5","7,334","±1,544","13.6%","±2.8","2,750","±722","6.7%","±1.8","3,220","±925","11.3%","±2.9"
