"Label (Grouping)","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error"
"Owner-occupied housing units with a mortgage","1,224,573","±19,217","1,224,573","±19,217","1,875","±631","1,875","±631","18,506","±1,966","18,506","±1,966","18,798","±1,842","18,798","±1,842","764,932","±14,702","764,932","±14,702","43,985","±3,355","43,985","±3,355","8,594","±1,324","8,594","±1,324","174,782","±5,956","174,782","±5,956","88,430","±4,072","88,430","±4,072","48,054","±3,396","48,054","±3,396","32,841","±2,992","32,841","±2,992"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","30,713","±2,851","2.5%","±0.2","117","±129","6.2%","±6.5","148","±130","0.8%","±0.7","790","±528","4.2%","±2.8","15,712","±2,244","2.1%","±0.3","1,602","±573","3.6%","±1.3","485","±317","5.6%","±3.8","5,884","±1,508","3.4%","±0.8","3,455","±1,262","3.9%","±1.4","724","±556","1.5%","±1.1","1,188","±651","3.6%","±2.0"
"        $50,000 to $99,999","14,277","±2,083","1.2%","±0.2","121","±114","6.5%","±6.5","1,101","±456","5.9%","±2.3","541","±453","2.9%","±2.3","5,501","±1,373","0.7%","±0.2","1,201","±632","2.7%","±1.4","102","±98","1.2%","±1.2","1,768","±661","1.0%","±0.4","1,597","±825","1.8%","±0.9","999","±710","2.1%","±1.5","726","±666","2.2%","±2.0"
"        $100,000 to $299,999","183,319","±8,050","15.0%","±0.6","1,040","±566","55.5%","±19.4","10,238","±1,564","55.3%","±5.3","1,352","±584","7.2%","±3.1","56,108","±4,530","7.3%","±0.6","15,617","±2,325","35.5%","±4.6","2,718","±952","31.6%","±8.6","50,583","±3,776","28.9%","±2.0","10,898","±2,033","12.3%","±2.3","6,520","±1,621","13.6%","±3.4","17,431","±2,646","53.1%","±5.6"
"        $300,000 to $499,999","506,372","±13,859","41.4%","±0.8","521","±345","27.8%","±18.2","5,047","±1,089","27.3%","±5.1","5,025","±1,057","26.7%","±5.7","309,037","±10,069","40.4%","±1.0","15,824","±2,433","36.0%","±4.5","3,651","±1,017","42.5%","±9.4","75,824","±4,570","43.4%","±2.2","53,281","±4,328","60.3%","±3.9","19,798","±2,552","41.2%","±4.0","10,993","±1,906","33.5%","±5.1"
"        $500,000 to $749,999","293,141","±9,810","23.9%","±0.7","67","±92","3.6%","±4.7","1,881","±735","10.2%","±4.1","6,131","±1,573","32.6%","±6.5","219,065","±9,267","28.6%","±1.1","6,644","±1,400","15.1%","±2.9","920","±475","10.7%","±5.8","26,334","±2,951","15.1%","±1.6","14,761","±2,709","16.7%","±3.0","13,006","±1,858","27.1%","±3.4","1,872","±587","5.7%","±1.9"
"        $750,000 to $999,999","113,018","±5,123","9.2%","±0.4","0","±237","0.0%","±11.6","52","±107","0.3%","±0.6","3,787","±915","20.1%","±5.0","88,196","±5,023","11.5%","±0.6","1,820","±760","4.1%","±1.7","517","±368","6.0%","±4.3","9,385","±1,852","5.4%","±1.1","2,713","±992","3.1%","±1.1","4,622","±1,228","9.6%","±2.4","568","±441","1.7%","±1.3"
"        $1,000,000 or more","83,733","±4,625","6.8%","±0.4","9","±15","0.5%","±0.8","39","±54","0.2%","±0.3","1,172","±433","6.2%","±2.3","71,313","±4,295","9.3%","±0.6","1,277","±639","2.9%","±1.4","201","±186","2.3%","±2.2","5,004","±1,260","2.9%","±0.7","1,725","±807","2.0%","±0.9","2,385","±651","5.0%","±1.4","63","±105","0.2%","±0.3"
"        Median (dollars)","453,500","±3,395","453,500","±3,395","261,400","±41,831","261,400","±41,831","262,700","±18,200","262,700","±18,200","569,000","±40,541","569,000","±40,541","497,800","±4,625","497,800","±4,625","352,300","±25,551","352,300","±25,551","339,000","±27,365","339,000","±27,365","359,400","±6,576","359,400","±6,576","407,400","±10,863","407,400","±10,863","462,400","±16,590","462,400","±16,590","278,900","±11,426","278,900","±11,426"
