"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Total!!Estimate","Apache County, Arizona!!Total!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Total!!Estimate","Cochise County, Arizona!!Total!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Total!!Estimate","Coconino County, Arizona!!Total!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Total!!Estimate","Gila County, Arizona!!Total!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Total!!Estimate","Graham County, Arizona!!Total!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Total!!Estimate","Greenlee County, Arizona!!Total!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Total!!Estimate","La Paz County, Arizona!!Total!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Total!!Estimate","Maricopa County, Arizona!!Total!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Total!!Estimate","Mohave County, Arizona!!Total!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Total!!Estimate","Navajo County, Arizona!!Total!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Total!!Estimate","Pima County, Arizona!!Total!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Total!!Estimate","Pinal County, Arizona!!Total!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Total!!Estimate","Santa Cruz County, Arizona!!Total!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Total!!Estimate","Yavapai County, Arizona!!Total!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Total!!Estimate","Yuma County, Arizona!!Total!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Households","2,326,468","±7,863","50,448","±217","18,859","±555","30,184","±1,368","48,935","±923","44,876","±1,551","45,478","±950","49,510","±1,484","19,704","±545","37,580","±2,160","10,822","±332","41,683","±3,124","3,327","±172","48,696","±2,912","10,158","±462","32,147","±2,694","1,382,002","±5,043","55,054","±334","80,361","±1,185","39,785","±915","35,366","±841","39,774","±1,908","381,880","±2,193","45,521","±546","118,826","±1,602","51,310","±1,076","12,078","±493","36,519","±2,832","89,109","±1,290","43,290","±882","69,563","±1,074","40,340","±1,162"
"One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White","83.1%","±0.2","52,197","±243","32.8%","±1.6","45,006","±4,754","86.3%","±0.9","45,622","±1,571","72.1%","±0.9","55,219","±1,721","88.8%","±1.3","38,898","±2,295","77.1%","±2.1","42,811","±3,995","85.7%","±3.7","47,668","±4,509","76.4%","±2.2","33,802","±3,646","84.5%","±0.2","56,899","±389","92.5%","±0.6","40,060","±936","58.5%","±1.2","47,858","±3,456","80.8%","±0.4","47,814","±660","79.9%","±0.7","53,238","±1,219","79.1%","±3.1","37,105","±3,222","94.2%","±0.5","43,334","±873","79.9%","±0.9","40,559","±1,288"
"    Black or African American","3.6%","±0.1","40,945","±1,218","0.1%","±0.1","12,321","±11,640","3.5%","±0.4","46,510","±9,138","0.9%","±0.2","56,513","±13,317","0.1%","±0.2","9,732","±28,075","0.8%","±0.6","15,938","±28,396","0.5%","±0.6","71,667","±15,314","0.8%","±0.6","6,250","±17,446","4.6%","±0.1","40,087","±1,375","0.7%","±0.2","39,758","±18,047","0.6%","±0.3","46,250","±28,668","3.2%","±0.1","38,150","±4,153","3.2%","±0.2","52,159","±6,498","0.5%","±0.5","45,469","±16,077","0.4%","±0.1","44,271","±20,796","2.0%","±0.3","51,337","±11,319"
"    American Indian and Alaska Native","3.2%","±0.1","32,181","±739","64.8%","±1.6","21,781","±1,392","1.0%","±0.2","52,630","±9,287","19.7%","±0.8","36,571","±2,398","6.8%","±0.9","23,885","±2,779","11.3%","±1.2","23,625","±5,986","2.9%","±1.3","39,333","±23,619","10.1%","±1.1","24,921","±6,343","1.4%","±0.1","39,673","±2,285","1.4%","±0.2","34,653","±4,517","34.8%","±1.1","26,705","±2,279","2.5%","±0.1","30,196","±2,473","4.3%","±0.3","33,642","±7,176","0.5%","±0.5","56,289","±31,676","1.5%","±0.2","29,725","±10,535","1.0%","±0.2","39,181","±17,926"
"    Asian","2.4%","±0.1","63,140","±2,077","0.6%","±0.1","21,167","±11,837","1.6%","±0.3","46,719","±17,148","1.7%","±0.3","37,896","±15,970","0.1%","±0.1","-","**","0.5%","±0.3","77,625","±93,831","0.4%","±0.5","-","**","0.8%","±0.4","99,926","±175,140","3.0%","±0.1","67,456","±2,370","0.9%","±0.2","41,827","±33,872","0.3%","±0.2","60,333","±32,155","2.5%","±0.1","49,469","±5,003","1.4%","±0.2","54,500","±10,860","0.7%","±0.5","65,139","±125,053","0.5%","±0.1","59,152","±15,622","1.0%","±0.2","59,805","±7,200"
"    Native Hawaiian and Other Pacific Islander","0.1%","±0.1","49,248","±5,751","0.1%","±0.1","54,125","±33,133","0.3%","±0.2","61,607","±73,374","0.1%","±0.1","60,690","±38,025","0.2%","±0.3","75,859","±40,991","0.2%","±0.3","-","**","0.4%","±0.7","-","**","0.2%","±0.3","-","**","0.1%","±0.1","51,315","±7,430","0.1%","±0.1","43,801","±9,416","0.1%","±0.1","46,875","±49,721","0.1%","±0.1","43,287","±28,561","0.2%","±0.1","41,329","±3,595","0.0%","±0.3","-","**","0.0%","±0.1","-","**","0.1%","±0.1","27,400","±63,915"
"    Some other race","5.9%","±0.1","40,782","±993","0.8%","±0.4","50,602","±15,029","4.7%","±0.6","30,482","±5,844","4.0%","±0.6","39,310","±14,503","2.9%","±0.7","34,281","±15,118","9.3%","±2.1","53,230","±5,214","8.1%","±3.2","54,420","±24,960","10.3%","±1.7","28,083","±5,425","5.0%","±0.1","43,870","±1,006","2.0%","±0.3","40,441","±7,995","3.6%","±0.8","31,056","±11,799","9.0%","±0.4","35,474","±1,482","9.4%","±0.6","43,741","±2,930","18.1%","±3.0","32,653","±6,313","2.3%","±0.4","46,112","±6,887","14.2%","±1.0","35,876","±3,582"
"Two or more races","1.5%","±0.1","45,061","±2,270","0.9%","±0.4","35,556","±23,155","2.7%","±0.5","37,390","±11,884","1.5%","±0.5","45,250","±21,616","1.1%","±0.5","49,732","±26,162","0.8%","±0.6","51,544","±6,865","2.0%","±1.9","51,453","±6,059","1.4%","±0.7","22,950","±19,735","1.4%","±0.1","50,498","±2,355","2.3%","±0.3","31,938","±8,074","2.0%","±0.6","50,024","±28,494","1.9%","±0.2","38,078","±4,052","1.5%","±0.3","52,826","±7,235","1.2%","±0.5","23,750","±17,459","1.1%","±0.2","40,455","±10,387","1.7%","±0.3","40,595","±10,405"
