"Label (Grouping)","Arizona!!Number!!Estimate","Arizona!!Number!!Margin of Error","Arizona!!Percent Distribution!!Estimate","Arizona!!Percent Distribution!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Number!!Estimate","Apache County, Arizona!!Number!!Margin of Error","Apache County, Arizona!!Percent Distribution!!Estimate","Apache County, Arizona!!Percent Distribution!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Number!!Estimate","Cochise County, Arizona!!Number!!Margin of Error","Cochise County, Arizona!!Percent Distribution!!Estimate","Cochise County, Arizona!!Percent Distribution!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Number!!Estimate","Coconino County, Arizona!!Number!!Margin of Error","Coconino County, Arizona!!Percent Distribution!!Estimate","Coconino County, Arizona!!Percent Distribution!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Number!!Estimate","Gila County, Arizona!!Number!!Margin of Error","Gila County, Arizona!!Percent Distribution!!Estimate","Gila County, Arizona!!Percent Distribution!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Number!!Estimate","Graham County, Arizona!!Number!!Margin of Error","Graham County, Arizona!!Percent Distribution!!Estimate","Graham County, Arizona!!Percent Distribution!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Number!!Estimate","Greenlee County, Arizona!!Number!!Margin of Error","Greenlee County, Arizona!!Percent Distribution!!Estimate","Greenlee County, Arizona!!Percent Distribution!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Number!!Estimate","La Paz County, Arizona!!Number!!Margin of Error","La Paz County, Arizona!!Percent Distribution!!Estimate","La Paz County, Arizona!!Percent Distribution!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Number!!Estimate","Maricopa County, Arizona!!Number!!Margin of Error","Maricopa County, Arizona!!Percent Distribution!!Estimate","Maricopa County, Arizona!!Percent Distribution!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Number!!Estimate","Mohave County, Arizona!!Number!!Margin of Error","Mohave County, Arizona!!Percent Distribution!!Estimate","Mohave County, Arizona!!Percent Distribution!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Number!!Estimate","Navajo County, Arizona!!Number!!Margin of Error","Navajo County, Arizona!!Percent Distribution!!Estimate","Navajo County, Arizona!!Percent Distribution!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Number!!Estimate","Pima County, Arizona!!Number!!Margin of Error","Pima County, Arizona!!Percent Distribution!!Estimate","Pima County, Arizona!!Percent Distribution!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Number!!Estimate","Pinal County, Arizona!!Number!!Margin of Error","Pinal County, Arizona!!Percent Distribution!!Estimate","Pinal County, Arizona!!Percent Distribution!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Number!!Estimate","Santa Cruz County, Arizona!!Number!!Margin of Error","Santa Cruz County, Arizona!!Percent Distribution!!Estimate","Santa Cruz County, Arizona!!Percent Distribution!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Number!!Estimate","Yavapai County, Arizona!!Number!!Margin of Error","Yavapai County, Arizona!!Percent Distribution!!Estimate","Yavapai County, Arizona!!Percent Distribution!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Number!!Estimate","Yuma County, Arizona!!Number!!Margin of Error","Yuma County, Arizona!!Percent Distribution!!Estimate","Yuma County, Arizona!!Percent Distribution!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","2,856,081","±6,374","2,856,081","±6,374","79,964","±407","21,100","±437","21,100","±437","41,438","±2,581","50,982","±672","50,982","±672","59,742","±1,950","55,118","±664","55,118","±664","72,966","±2,339","23,645","±605","23,645","±605","61,986","±2,848","12,746","±254","12,746","±254","67,325","±4,646","3,591","±205","3,591","±205","71,164","±12,585","8,959","±382","8,959","±382","49,478","±4,006","1,730,696","±4,424","1,730,696","±4,424","89,300","±562","101,973","±986","101,973","±986","57,684","±1,429","40,063","±803","40,063","±803","54,606","±2,264","437,827","±1,858","437,827","±1,858","70,315","±1,089","161,917","±1,167","161,917","±1,167","80,266","±1,518","16,966","±329","16,966","±329","55,217","±4,149","111,157","±984","111,157","±984","69,613","±1,866","79,341","±862","79,341","±862","62,876","±2,259"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","1,923,693","±7,211","67.4%","±0.2","84,312","±537","5,419","±252","25.7%","±1.2","69,006","±11,393","35,543","±709","69.7%","±1.2","62,045","±2,618","34,884","±760","63.3%","±1.1","82,402","±2,683","17,551","±509","74.2%","±1.6","64,457","±3,950","8,478","±319","66.5%","±2.3","72,936","±7,512","1,897","±187","52.8%","±4.3","78,233","±6,482","6,016","±257","67.2%","±2.4","48,317","±4,454","1,157,891","±5,402","66.9%","±0.2","94,857","±757","86,284","±1,082","84.6%","±0.7","56,970","±1,630","21,062","±504","52.6%","±1.2","66,883","±2,682","294,328","±2,241","67.2%","±0.4","74,235","±1,039","116,617","±1,411","72.0%","±0.8","80,414","±1,842","5,988","±425","35.3%","±2.5","60,486","±6,775","94,908","±1,044","85.4%","±0.7","70,031","±2,157","36,827","±920","46.4%","±1.0","64,652","±2,513"
"            Black or African American","120,935","±1,878","4.2%","±0.1","63,021","±1,629","97","±102","0.5%","±0.5","-","**","1,499","±251","2.9%","±0.5","69,028","±29,563","667","±186","1.2%","±0.3","38,955","±8,435","41","±60","0.2%","±0.3","-","**","115","±109","0.9%","±0.9","-","**","63","±53","1.8%","±1.5","-","**","143","±46","1.6%","±0.5","26,525","±16,583","94,164","±1,635","5.4%","±0.1","63,291","±1,788","787","±213","0.8%","±0.2","55,234","±28,169","135","±61","0.3%","±0.2","48,750","±43,736","14,738","±664","3.4%","±0.2","56,618","±6,551","7,049","±469","4.4%","±0.3","77,850","±8,606","14","±29","0.1%","±0.2","-","**","367","±115","0.3%","±0.1","30,609","±23,159","1,056","±253","1.3%","±0.3","51,842","±15,873"
"            American Indian and Alaska Native","90,388","±2,013","3.2%","±0.1","51,388","±1,504","14,711","±410","69.7%","±1.1","33,701","±2,076","439","±127","0.9%","±0.3","46,648","±16,193","12,034","±466","21.8%","±0.8","52,963","±5,944","1,508","±266","6.4%","±1.1","47,667","±12,966","879","±147","6.9%","±1.1","34,485","±26,847","178","±124","5.0%","±3.5","48,850","±27,147","1,128","±152","12.6%","±1.6","56,968","±6,362","26,191","±1,335","1.5%","±0.1","70,617","±6,927","1,366","±195","1.3%","±0.2","50,588","±12,996","15,488","±734","38.7%","±1.4","34,957","±1,912","9,126","±605","2.1%","±0.1","54,761","±4,030","4,856","±391","3.0%","±0.2","59,289","±11,297","95","±61","0.6%","±0.4","90,795","±46,350","1,354","±244","1.2%","±0.2","74,318","±12,647","1,035","±188","1.3%","±0.2","47,471","±18,733"
"            Asian","96,518","±1,695","3.4%","±0.1","104,817","±2,387","161","±38","0.8%","±0.2","55,809","±25,853","873","±159","1.7%","±0.3","42,083","±34,595","847","±206","1.5%","±0.4","100,605","±38,498","141","±57","0.6%","±0.2","138,211","±38,915","149","±105","1.2%","±0.8","95,934","±1,073","133","±170","3.7%","±4.7","-","**","74","±36","0.8%","±0.4","101,333","±50,865","75,049","±1,505","4.3%","±0.1","112,050","±3,784","895","±207","0.9%","±0.2","78,854","±35,069","126","±62","0.3%","±0.2","120,156","±65,684","13,276","±699","3.0%","±0.2","72,961","±8,557","2,620","±358","1.6%","±0.2","100,708","±6,901","54","±48","0.3%","±0.3","45,556","±21,338","1,219","±193","1.1%","±0.2","65,150","±27,556","901","±138","1.1%","±0.2","105,674","±11,518"
"            Native Hawaiian and Other Pacific Islander","4,596","±398","0.2%","±0.1","88,386","±7,914","23","±10","0.1%","±0.1","-","**","24","±37","0.0%","±0.1","-","**","78","±52","0.1%","±0.1","-","**","36","±51","0.2%","±0.2","-","**","43","±39","0.3%","±0.3","-","**","0","±20","0.0%","±1.2","-","**","1","±3","0.0%","±0.1","-","**","3,030","±340","0.2%","±0.1","90,286","±9,234","106","±78","0.1%","±0.1","-","**","29","±26","0.1%","±0.1","58,188","±28,291","607","±150","0.1%","±0.1","74,688","±66,752","473","±185","0.3%","±0.1","87,654","±23,619","27","±30","0.2%","±0.2","-","**","81","±61","0.1%","±0.1","-","**","38","±53","0.0%","±0.1","-","**"
"            Some other race","198,210","±3,424","6.9%","±0.1","69,232","±1,479","250","±93","1.2%","±0.4","-","**","2,687","±359","5.3%","±0.7","54,619","±7,145","1,864","±373","3.4%","±0.7","53,172","±21,781","1,054","±301","4.5%","±1.3","48,269","±19,521","578","±191","4.5%","±1.5","66,750","±26,246","299","±144","8.3%","±4.0","50,670","±38,398","490","±145","5.5%","±1.6","47,865","±9,466","123,136","±2,624","7.1%","±0.1","74,288","±2,286","3,629","±472","3.6%","±0.5","65,502","±9,675","1,082","±182","2.7%","±0.5","49,695","±3,714","35,703","±1,586","8.2%","±0.4","60,095","±2,860","10,167","±888","6.3%","±0.5","78,120","±4,459","1,985","±298","11.7%","±1.8","47,127","±10,978","3,302","±459","3.0%","±0.4","67,584","±7,430","11,984","±943","15.1%","±1.2","57,703","±6,702"
"        Two or more races","421,741","±5,196","14.8%","±0.2","73,888","±1,182","439","±137","2.1%","±0.6","71,042","±31,770","9,917","±626","19.5%","±1.2","51,872","±5,367","4,744","±553","8.6%","±1.0","60,403","±5,970","3,314","±397","14.0%","±1.6","62,295","±8,447","2,504","±297","19.6%","±2.3","50,229","±4,503","1,021","±242","28.4%","±6.4","80,068","±8,856","1,107","±193","12.4%","±2.0","56,181","±9,798","251,235","±4,063","14.5%","±0.2","80,436","±1,623","8,906","±811","8.7%","±0.8","61,288","±5,211","2,141","±383","5.3%","±1.0","62,708","±17,188","70,049","±2,127","16.0%","±0.5","65,154","±2,132","20,135","±1,034","12.4%","±0.6","81,949","±4,177","8,803","±560","51.9%","±3.1","49,227","±4,554","9,926","±745","8.9%","±0.7","67,308","±10,634","27,500","±1,046","34.7%","±1.3","63,926","±5,472"
"        Hispanic or Latino origin (of any race)","679,040","±4,098","23.8%","±0.1","71,214","±890","899","±140","4.3%","±0.6","70,521","±36,433","13,783","±552","27.0%","±1.0","51,367","±3,936","6,428","±448","11.7%","±0.8","58,820","±4,101","3,616","±263","15.3%","±1.0","60,022","±9,483","3,656","±291","28.7%","±2.1","58,182","±9,215","1,547","±190","43.1%","±4.1","74,219","±18,631","1,759","±207","19.6%","±1.8","54,063","±9,004","402,952","±2,922","23.3%","±0.2","77,294","±1,046","12,366","±644","12.1%","±0.6","60,498","±3,516","3,179","±333","7.9%","±0.8","55,605","±7,343","125,689","±1,771","28.7%","±0.4","63,004","±1,936","33,797","±986","20.9%","±0.6","78,302","±2,889","12,904","±364","76.1%","±1.1","47,465","±2,631","12,129","±632","10.9%","±0.5","66,777","±4,599","44,336","±775","55.9%","±0.6","61,974","±2,789"
"        White alone, not Hispanic or Latino","1,776,056","±5,669","62.2%","±0.1","85,455","±503","5,099","±224","24.2%","±1.1","66,250","±11,446","32,301","±629","63.4%","±1.0","62,365","±3,067","33,212","±685","60.3%","±1.0","83,276","±2,727","16,794","±482","71.0%","±1.5","65,292","±3,384","7,336","±268","57.6%","±2.0","75,971","±6,646","1,531","±136","42.6%","±3.6","76,146","±11,647","5,837","±249","65.2%","±2.5","48,422","±4,501","1,074,915","±4,427","62.1%","±0.2","96,334","±789","82,903","±1,050","81.3%","±0.8","57,125","±1,668","20,196","±467","50.4%","±1.1","67,212","±2,608","261,952","±1,972","59.8%","±0.4","75,442","±1,372","107,738","±1,119","66.5%","±0.7","80,823","±1,870","3,711","±151","21.9%","±1.0","70,517","±9,365","92,159","±952","82.9%","±0.7","70,319","±2,178","30,372","±552","38.3%","±0.7","65,592","±2,840"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","124,297","±2,680","4.4%","±0.1","50,775","±1,258","232","±80","1.1%","±0.4","21,833","±14,927","1,244","±258","2.4%","±0.5","47,557","±7,246","5,604","±472","10.2%","±0.8","37,102","±3,148","779","±215","3.3%","±0.9","59,150","±22,023","654","±158","5.1%","±1.2","66,563","±17,358","83","±57","2.3%","±1.5","-","**","327","±154","3.6%","±1.6","57,689","±44,594","73,042","±2,354","4.2%","±0.1","57,168","±2,131","2,653","±455","2.6%","±0.4","44,415","±19,429","1,457","±360","3.6%","±0.9","42,156","±12,538","27,600","±1,126","6.3%","±0.3","40,435","±2,189","2,940","±467","1.8%","±0.3","60,133","±17,645","511","±221","3.0%","±1.3","25,795","±25,081","2,690","±398","2.4%","±0.4","42,622","±6,184","4,481","±565","5.6%","±0.7","50,540","±9,385"
"    25 to 44 years","907,974","±3,979","31.8%","±0.1","89,391","±859","4,988","±367","23.6%","±1.5","48,082","±3,239","13,303","±538","26.1%","±0.9","68,591","±5,980","18,171","±560","33.0%","±0.9","83,579","±3,303","4,566","±400","19.3%","±1.5","81,676","±13,272","4,294","±273","33.7%","±2.0","77,388","±7,431","1,388","±255","38.7%","±6.4","78,361","±4,945","1,677","±236","18.7%","±2.2","64,219","±14,506","605,776","±4,002","35.0%","±0.2","94,795","±1,077","20,546","±723","20.1%","±0.6","69,860","±5,352","9,740","±534","24.3%","±1.1","59,682","±3,151","126,695","±1,543","28.9%","±0.3","77,863","±1,869","46,691","±1,209","28.8%","±0.7","94,039","±4,004","4,402","±283","25.9%","±1.6","60,202","±9,106","20,313","±797","18.3%","±0.6","85,501","±4,690","25,424","±839","32.0%","±1.0","72,856","±3,171"
