Attribute,Counties,Value
arizona public service,Apache,Yes
navopache electric co-op,Apache,Yes
navajo tribal utility authority,Apache,Yes
arizona public service,Cochise,Yes
columbus electric co-op,Cochise,Yes
sulphur springs valley electric co-op,Cochise,Yes
arizona public service,Coconino,Yes
garkane power association,Coconino,Yes
mohave electric cooperative,Coconino,Yes
city of fredonia ,Coconino,Yes
city of williams - az,Coconino,Yes
navajo tribal utility authority,Coconino,Yes
page electric utility,Coconino,Yes
page utility enterprises,Coconino,Yes
arizona public service,Gila,Yes
navopache electric co-op,Gila,Yes
salt river project,Gila,Yes
usbia-san carlos project,Gila,Yes
graham county electric cooperative,Graham,Yes
sulphur springs valley electric co-op,Graham,Yes
city of safford,Graham,Yes
duncan valley elec coop inc,Graham,Yes
town of thatcher,Graham,Yes
usbia-san carlos project,Graham,Yes
morenci water & electric company,Greenlee,Yes
navopache electric co-op,Greenlee,Yes
salt river project,Greenlee,Yes
duncan valley elec coop inc,Greenlee,Yes
arizona public service,La Paz,Yes
colorado river indian irr proj,La Paz,Yes
arizona public service,Maricopa,Yes
city of mesa ,Maricopa,Yes
salt river project,Maricopa,Yes
buckeye water c&d district,Maricopa,Yes
ocotillo water conserv. dist.,Maricopa,Yes
tohono o'odham utility auth,Maricopa,Yes
town of wickenburg,Maricopa,Yes
usbia-san carlos project,Maricopa,Yes
tohono oodham utility auth,Maricopa,Yes
dixie escalante rural electric association,Mohave,Yes
garkane power association,Mohave,Yes
mohave electric cooperative,Mohave,Yes
uns electric inc.,Mohave,Yes
colorado river indian irr proj,Mohave,Yes
aha macav power service,Mohave,Yes
arizona public service,Navajo,Yes
navopache electric co-op,Navajo,Yes
navajo tribal utility authority,Navajo,Yes
ajo improvement company,Pima,Yes
arizona public service,Pima,Yes
sulphur springs valley electric co-op,Pima,Yes
trico electric cooperative,Pima,Yes
tucson electric power,Pima,Yes
tohono o'odham utility auth,Pima,Yes
usbia-san carlos project,Pima,Yes
tohono oodham utility auth,Pima,Yes
arizona public service,Pinal,Yes
salt river project,Pinal,Yes
ak-chin electric utility authority,Pinal,Yes
electrical dist no2 pinal cnty,Pinal,Yes
electrical dist no3 pinal cnty,Pinal,Yes
electrical dist no4 pinal cnty,Pinal,Yes
electrical dist no5 pinal cnty,Pinal,Yes
hohokam irr & drain dist,Pinal,Yes
tohono o'odham utility auth,Pinal,Yes
usbia-san carlos project,Pinal,Yes
gila river indian utility authority (gricua),Pinal,Yes
tohono oodham utility auth,Pinal,Yes
sulphur springs valley electric co-op,Santa Cruz,Yes
uns electric inc.,Santa Cruz,Yes
arizona public service,Yavapai,Yes
mohave electric cooperative,Yavapai,Yes
town of wickenburg,Yavapai,Yes
arizona public service,Yuma,Yes
wellton-mohawk irr & drain dist,Yuma,Yes
