"Label (Grouping)","Arizona!!Total population!!Estimate","Arizona!!Total population!!Margin of Error","Apache County, Arizona!!Total population!!Estimate","Apache County, Arizona!!Total population!!Margin of Error","Cochise County, Arizona!!Total population!!Estimate","Cochise County, Arizona!!Total population!!Margin of Error","Coconino County, Arizona!!Total population!!Estimate","Coconino County, Arizona!!Total population!!Margin of Error","Gila County, Arizona!!Total population!!Estimate","Gila County, Arizona!!Total population!!Margin of Error","Graham County, Arizona!!Total population!!Estimate","Graham County, Arizona!!Total population!!Margin of Error","Greenlee County, Arizona!!Total population!!Estimate","Greenlee County, Arizona!!Total population!!Margin of Error","La Paz County, Arizona!!Total population!!Estimate","La Paz County, Arizona!!Total population!!Margin of Error","Maricopa County, Arizona!!Total population!!Estimate","Maricopa County, Arizona!!Total population!!Margin of Error","Mohave County, Arizona!!Total population!!Estimate","Mohave County, Arizona!!Total population!!Margin of Error","Navajo County, Arizona!!Total population!!Estimate","Navajo County, Arizona!!Total population!!Margin of Error","Pima County, Arizona!!Total population!!Estimate","Pima County, Arizona!!Total population!!Margin of Error","Pinal County, Arizona!!Total population!!Estimate","Pinal County, Arizona!!Total population!!Margin of Error","Santa Cruz County, Arizona!!Total population!!Estimate","Santa Cruz County, Arizona!!Total population!!Margin of Error","Yavapai County, Arizona!!Total population!!Estimate","Yavapai County, Arizona!!Total population!!Margin of Error","Yuma County, Arizona!!Total population!!Estimate","Yuma County, Arizona!!Total population!!Margin of Error"
"Total:","1,568,513","±9,416","14,391","±537","33,776","±796","27,835","±697","15,433","±556","7,793","±346","1,560","±133","7,656","±364","916,515","±6,010","57,459","±1,114","25,644","±704","246,584","±2,413","92,296","±1,624","8,575","±420","64,562","±1,312","48,434","±1,067"
"    Housing units with a mortgage:","1,112,983","±7,883","4,052","±326","21,802","±794","18,108","±663","8,122","±405","4,069","±357","664","±135","2,788","±359","701,440","±5,490","34,577","±1,110","11,973","±661","169,711","±2,104","62,335","±1,361","5,868","±360","39,469","±1,054","28,005","±985"
"        Less than 10.0 percent","53,747","±1,612","387","±113","1,533","±272","1,007","±209","476","±193","240","±100","107","±63","231","±112","32,638","±1,142","1,971","±296","809","±215","8,643","±595","2,353","±327","388","±140","1,983","±367","981","±242"
"        10.0 to 14.9 percent","119,077","±2,232","634","±197","3,341","±400","1,959","±286","964","±236","660","±166","47","±37","380","±164","73,923","±1,786","3,271","±398","1,506","±292","19,480","±878","5,367","±514","520","±137","3,678","±445","3,347","±446"
"        15.0 to 19.9 percent","171,367","±2,935","736","±202","4,066","±449","3,002","±433","1,151","±271","854","±185","179","±74","305","±121","108,423","±2,359","4,880","±563","2,007","±343","27,515","±951","8,130","±580","950","±253","4,983","±461","4,186","±383"
"        20.0 to 24.9 percent","174,126","±3,098","651","±182","3,063","±337","2,641","±294","857","±227","609","±147","75","±43","274","±94","111,023","±2,671","4,463","±403","1,766","±295","27,314","±988","10,527","±708","854","±232","5,587","±547","4,422","±522"
"        25.0 to 29.9 percent","143,267","±2,567","310","±106","2,763","±359","2,366","±296","1,065","±251","238","±102","57","±47","372","±200","90,569","±1,880","4,270","±479","1,369","±263","22,323","±933","8,648","±702","600","±182","4,535","±402","3,782","±593"
"        30.0 to 34.9 percent","105,738","±2,294","190","±63","1,615","±232","1,812","±275","820","±184","353","±119","89","±53","267","±94","66,064","±1,597","3,590","±420","1,013","±270","15,931","±779","6,543","±641","432","±147","3,853","±456","3,166","±476"
"        35.0 to 39.9 percent","73,601","±1,808","273","±114","1,233","±266","1,195","±189","481","±171","350","±134","20","±19","155","±101","46,309","±1,430","2,194","±338","540","±163","10,883","±588","4,880","±501","442","±172","2,727","±337","1,919","±339"
"        40.0 to 49.9 percent","93,066","±2,178","318","±103","1,181","±272","1,563","±331","757","±179","239","±92","34","±22","315","±131","58,445","±1,547","3,170","±411","1,317","±265","13,557","±809","5,845","±545","466","±130","3,796","±400","2,063","±420"
