"Label (Grouping)","Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error"
"Owner-occupied housing units without a mortgage","574,504","±4,582","574,504","±4,582","12,482","±345","12,482","±345","14,917","±597","14,917","±597","12,981","±588","12,981","±588","8,799","±459","8,799","±459","3,309","±273","3,309","±273","1,011","±115","1,011","±115","4,910","±360","4,910","±360","286,819","±3,287","286,819","±3,287","27,258","±953","27,258","±953","14,594","±466","14,594","±466","94,101","±1,643","94,101","±1,643","39,679","±1,184","39,679","±1,184","3,589","±321","3,589","±321","29,508","±1,047","29,508","±1,047","20,547","±844","20,547","±844"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","102,747","±2,019","17.9%","±0.3","6,078","±265","48.7%","±1.8","2,989","±367","20.0%","±2.3","3,192","±280","24.6%","±2.1","2,791","±356","31.7%","±3.4","1,096","±166","33.1%","±4.6","238","±74","23.5%","±7.0","1,907","±378","38.8%","±6.5","37,747","±1,170","13.2%","±0.4","6,121","±588","22.5%","±2.0","3,879","±296","26.6%","±1.7","16,416","±756","17.4%","±0.7","9,732","±532","24.5%","±1.3","373","±120","10.4%","±3.1","3,638","±438","12.3%","±1.4","6,550","±558","31.9%","±2.0"
"        $50,000 to $99,999","76,566","±1,548","13.3%","±0.3","3,728","±204","29.9%","±1.4","3,173","±269","21.3%","±1.7","2,100","±204","16.2%","±1.5","1,229","±216","14.0%","±2.3","691","±143","20.9%","±3.9","467","±99","46.2%","±7.8","1,348","±268","27.5%","±5.6","26,115","±992","9.1%","±0.3","5,745","±519","21.1%","±1.8","3,467","±258","23.8%","±1.8","13,156","±694","14.0%","±0.7","6,433","±492","16.2%","±1.1","524","±129","14.6%","±3.6","2,935","±370","9.9%","±1.3","5,455","±465","26.5%","±2.1"
"        $100,000 to $199,999","148,188","±2,774","25.8%","±0.4","1,684","±169","13.5%","±1.3","4,980","±418","33.4%","±2.5","1,828","±219","14.1%","±1.6","1,798","±206","20.4%","±2.2","992","±184","30.0%","±4.7","181","±64","17.9%","±5.7","872","±174","17.8%","±3.4","71,993","±1,817","25.1%","±0.5","7,482","±619","27.4%","±1.9","3,782","±350","25.9%","±2.3","27,788","±949","29.5%","±0.9","11,308","±725","28.5%","±1.6","1,298","±227","36.2%","±4.9","6,540","±623","22.2%","±1.9","5,662","±408","27.6%","±1.8"
"        $200,000 to $299,999","107,991","±1,965","18.8%","±0.3","689","±145","5.5%","±1.1","2,209","±296","14.8%","±1.9","1,570","±242","12.1%","±1.7","1,355","±210","15.4%","±2.3","211","±65","6.4%","±1.9","44","±24","4.4%","±2.4","331","±98","6.7%","±2.1","62,769","±1,441","21.9%","±0.5","4,721","±479","17.3%","±1.6","1,976","±268","13.5%","±1.7","17,277","±780","18.4%","±0.7","6,058","±570","15.3%","±1.3","652","±146","18.2%","±3.8","6,495","±535","22.0%","±1.7","1,634","±273","8.0%","±1.3"
"        $300,000 to $499,999","90,036","±1,636","15.7%","±0.3","204","±75","1.6%","±0.6","1,132","±218","7.6%","±1.4","2,358","±278","18.2%","±1.9","1,068","±206","12.1%","±2.3","239","±86","7.2%","±2.6","70","±38","6.9%","±3.8","197","±160","4.0%","±3.2","55,911","±1,397","19.5%","±0.4","2,465","±353","9.0%","±1.3","1,072","±206","7.3%","±1.4","13,061","±629","13.9%","±0.6","4,612","±405","11.6%","±0.9","416","±135","11.6%","±3.6","6,257","±481","21.2%","±1.4","974","±184","4.7%","±0.9"
"        $500,000 to $749,999","28,479","±1,016","5.0%","±0.2","41","±19","0.3%","±0.2","319","±179","2.1%","±1.2","1,282","±224","9.9%","±1.6","406","±126","4.6%","±1.4","49","±35","1.5%","±1.0","0","±17","0.0%","±3.4","207","±147","4.2%","±3.0","18,023","±743","6.3%","±0.3","501","±142","1.8%","±0.5","247","±90","1.7%","±0.6","3,855","±371","4.1%","±0.4","939","±179","2.4%","±0.4","189","±78","5.3%","±2.0","2,260","±314","7.7%","±1.0","161","±75","0.8%","±0.4"
"        $750,000 to $999,999","9,715","±660","1.7%","±0.1","58","±24","0.5%","±0.2","24","±26","0.2%","±0.2","343","±98","2.6%","±0.7","72","±53","0.8%","±0.6","13","±15","0.4%","±0.4","3","±6","0.3%","±0.6","7","±12","0.1%","±0.2","6,585","±533","2.3%","±0.2","112","±66","0.4%","±0.2","60","±64","0.4%","±0.4","1,393","±208","1.5%","±0.2","200","±87","0.5%","±0.2","52","±41","1.4%","±1.1","756","±221","2.6%","±0.7","37","±24","0.2%","±0.1"
"        $1,000,000 or more","10,782","±674","1.9%","±0.1","0","±29","0.0%","±0.3","91","±61","0.6%","±0.4","308","±93","2.4%","±0.7","80","±56","0.9%","±0.6","18","±16","0.5%","±0.5","8","±13","0.8%","±1.3","41","±25","0.8%","±0.5","7,676","±590","2.7%","±0.2","111","±66","0.4%","±0.2","111","±52","0.8%","±0.3","1,155","±207","1.2%","±0.2","397","±157","1.0%","±0.4","85","±50","2.4%","±1.4","627","±190","2.1%","±0.6","74","±43","0.4%","±0.2"
