"Label (Grouping)","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Gila County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Gila County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Gila County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Gila County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Graham County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Graham County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Graham County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Graham County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Greenlee County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Greenlee County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Greenlee County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Greenlee County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","La Paz County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","La Paz County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","La Paz County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","La Paz County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error"
"Owner-occupied housing units with a mortgage","1,093,650","±7,412","1,093,650","±7,412","3,232","±278","3,232","±278","18,613","±774","18,613","±774","15,679","±746","15,679","±746","7,309","±505","7,309","±505","4,647","±377","4,647","±377","618","±160","618","±160","1,899","±363","1,899","±363","690,104","±5,377","690,104","±5,377","34,874","±1,185","34,874","±1,185","9,299","±580","9,299","±580","161,554","±2,898","161,554","±2,898","70,319","±1,827","70,319","±1,827","6,670","±473","6,670","±473","40,749","±1,279","40,749","±1,279","28,084","±1,071","28,084","±1,071"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","27,546","±1,951","2.5%","±0.2","358","±83","11.1%","±2.5","622","±146","3.3%","±0.8","754","±226","4.8%","±1.4","219","±127","3.0%","±1.8","192","±96","4.1%","±2.0","144","±77","23.3%","±11.2","518","±223","27.3%","±9.3","12,928","±1,592","1.9%","±0.2","2,033","±402","5.8%","±1.1","530","±148","5.7%","±1.6","5,138","±483","3.2%","±0.3","2,143","±304","3.0%","±0.4","134","±80","2.0%","±1.2","892","±314","2.2%","±0.8","941","±271","3.4%","±0.9"
"        $50,000 to $99,999","49,196","±1,612","4.5%","±0.1","738","±192","22.8%","±5.5","3,492","±459","18.8%","±2.3","426","±110","2.7%","±0.7","996","±252","13.6%","±3.2","592","±207","12.7%","±4.2","198","±111","32.0%","±13.9","292","±122","15.4%","±6.2","15,668","±1,014","2.3%","±0.1","4,184","±447","12.0%","±1.2","1,321","±179","14.2%","±1.9","11,737","±733","7.3%","±0.4","3,993","±537","5.7%","±0.8","1,030","±249","15.4%","±3.5","1,563","±254","3.8%","±0.6","2,966","±402","10.6%","±1.4"
"        $100,000 to $299,999","594,408","±5,735","54.4%","±0.4","1,779","±233","55.0%","±5.7","12,304","±776","66.1%","±2.8","4,973","±487","31.7%","±2.8","4,116","±437","56.3%","±5.0","3,251","±294","70.0%","±4.9","249","±103","40.3%","±15.2","762","±217","40.1%","±9.8","341,412","±4,247","49.5%","±0.5","20,474","±1,045","58.7%","±2.3","5,774","±508","62.1%","±3.2","103,795","±2,328","64.2%","±0.8","49,782","±1,745","70.8%","±1.4","4,566","±462","68.5%","±4.5","20,087","±1,055","49.3%","±2.0","21,084","±1,031","75.1%","±2.0"
"        $300,000 to $499,999","294,124","±4,307","26.9%","±0.3","307","±124","9.5%","±3.7","1,859","±321","10.0%","±1.8","6,415","±535","40.9%","±3.0","1,413","±327","19.3%","±3.9","568","±172","12.2%","±3.4","22","±31","3.6%","±5.3","176","±85","9.3%","±4.5","218,182","±3,444","31.6%","±0.4","6,593","±679","18.9%","±1.8","1,390","±223","14.9%","±2.2","29,296","±1,407","18.1%","±0.8","11,792","±823","16.8%","±1.2","521","±165","7.8%","±2.5","12,791","±980","31.4%","±2.2","2,799","±386","10.0%","±1.3"
"        $500,000 to $749,999","82,826","±2,344","7.6%","±0.2","50","±40","1.5%","±1.2","179","±96","1.0%","±0.5","2,131","±362","13.6%","±2.1","407","±138","5.6%","±1.9","44","±30","0.9%","±0.6","5","±8","0.8%","±1.3","119","±101","6.3%","±5.1","65,224","±1,953","9.5%","±0.3","868","±199","2.5%","±0.6","112","±61","1.2%","±0.6","7,607","±747","4.7%","±0.4","1,606","±304","2.3%","±0.4","311","±114","4.7%","±1.7","3,991","±564","9.8%","±1.3","172","±82","0.6%","±0.3"
"        $750,000 to $999,999","24,892","±1,114","2.3%","±0.1","0","±31","0.0%","±1.2","136","±84","0.7%","±0.4","668","±211","4.3%","±1.3","88","±54","1.2%","±0.7","0","±28","0.0%","±0.9","0","±19","0.0%","±6.3","0","±25","0.0%","±2.1","19,453","±1,088","2.8%","±0.2","286","±109","0.8%","±0.3","39","±33","0.4%","±0.4","2,406","±278","1.5%","±0.2","579","±232","0.8%","±0.3","83","±49","1.2%","±0.7","1,069","±243","2.6%","±0.6","85","±53","0.3%","±0.2"
"        $1,000,000 or more","20,658","±1,402","1.9%","±0.1","0","±31","0.0%","±1.2","21","±28","0.1%","±0.2","312","±129","2.0%","±0.8","70","±95","1.0%","±1.3","0","±28","0.0%","±0.9","0","±19","0.0%","±6.3","32","±30","1.7%","±1.5","17,237","±1,093","2.5%","±0.2","436","±198","1.3%","±0.6","133","±82","1.4%","±0.9","1,575","±463","1.0%","±0.3","424","±322","0.6%","±0.5","25","±18","0.4%","±0.3","356","±103","0.9%","±0.2","37","±27","0.1%","±0.1"
"        Median (dollars)","258,400","±1,525","258,400","±1,525","150,700","±19,817","150,700","±19,817","163,300","±5,854","163,300","±5,854","345,600","±11,781","345,600","±11,781","213,800","±14,551","213,800","±14,551","163,200","±6,318","163,200","±6,318","88,400","±38,548","88,400","±38,548","114,500","±15,792","114,500","±15,792","288,000","±1,591","288,000","±1,591","194,700","±7,547","194,700","±7,547","169,700","±5,746","169,700","±5,746","206,600","±2,486","206,600","±2,486","216,800","±3,611","216,800","±3,611","154,600","±8,696","154,600","±8,696","280,900","±6,705","280,900","±6,705","161,200","±3,357","161,200","±3,357"
